,date,VTI_adjclose,AGG_adjclose,SP_adjclose
231,20041202,42.42016983,60.23182678,1190.329956
232,20041203,42.42745972,60.58128738,1191.170044
233,20041206,42.40193176,60.64641571,1190.25
234,20041207,41.98623276,60.72934723,1177.069946
235,20041208,42.15398407,60.9366188,1182.810059
236,20041209,42.35087585,60.8536644,1189.23999
237,20041210,42.29983521,60.77668381,1188
238,20041213,42.70096207,60.86552429,1198.680054
239,20041214,42.89057159,60.92478561,1203.380005
240,20041215,43.02914429,61.06100845,1205.719971
241,20041216,42.95620728,60.82408905,1203.209961
242,20041217,42.73743439,60.67599106,1194.199951
243,20041220,42.66085052,60.73526764,1194.650024
244,20041221,43.05830002,60.73526764,1205.449951
245,20041222,43.21876526,60.86552429,1209.569946
246,20041223,43.26616669,60.8951416,1210.130005
247,20041227,43.05876923,60.6641655,1204.920044
248,20041228,43.41850281,60.63456345,1213.540039
249,20041229,43.48090744,60.62271881,1213.449951
250,20041230,43.44419479,60.74710846,1213.550049
251,20041231,43.3340683,60.8266983,1211.920044
252,20050103,43.02204895,60.8266983,1202.079956
253,20050104,42.44942093,60.76733017,1188.050049
254,20050105,42.15573883,60.7435379,1183.73999
255,20050106,42.35762787,60.78512192,1187.890015
256,20050107,42.22180176,60.76733017,1186.189941
257,20050110,42.39066696,60.73760605,1190.25
258,20050111,42.13370514,60.82077408,1182.98999
259,20050112,42.3209343,60.90984726,1187.699951
260,20050113,41.99056244,61.05834579,1177.449951
261,20050114,42.17776871,60.83855438,1184.52002
262,20050118,42.63660431,60.9989624,1195.97998
263,20050119,42.25484848,61.08805084,1184.630005
264,20050120,41.9978981,61.17121124,1175.410034
265,20050121,41.78130722,61.20088959,1167.869995
266,20050124,41.55738831,61.21277618,1163.75
267,20050125,41.66384888,61.10584641,1168.410034
268,20050126,41.9208107,61.07615662,1174.069946
269,20050127,41.97953415,60.99298859,1174.550049
270,20050128,41.82535934,61.20088959,1171.359985
271,20050131,42.25117111,61.12368011,1181.27002
272,20050201,42.48977661,61.18861008,1189.410034
273,20050202,42.68433762,61.23630905,1193.189941
274,20050203,42.4714241,61.15884781,1189.890015
275,20050204,43.00370026,61.41506577,1203.030029
276,20050207,42.98535538,61.42696762,1201.719971
277,20050208,43.05876923,61.4627533,1202.300049
278,20050209,42.65496445,61.62954712,1191.98999
279,20050210,42.8018074,61.31377029,1197.01001
280,20050211,43.15053558,61.39719772,1205.300049
281,20050214,43.16152954,61.40904617,1206.140015
282,20050215,43.31572342,61.28992462,1210.119995
283,20050216,43.32305908,61.21839905,1210.339966
284,20050217,43.04040146,61.18861008,1200.75
285,20050218,43.02204895,61.20654678,1201.589966
286,20050222,42.37231445,61.03371429,1184.160034
287,20050223,42.59624481,61.06354904,1190.800049
288,20050224,42.91927719,61.00392532,1200.199951
289,20050225,43.34874725,61.05755997,1211.369995
290,20050228,43.13217926,60.89671707,1203.599976
